id,name,birth_date,birth_time,location,tz,latitude,longitude,data_source,notes
AAL,American Airlines,1926-04-15,,Dallas Fort Worth International Airport,America/Chicago,32.896801,-97.038002,wikidata+openflights,"Also charted as stock ticker AAL (IPO 1994-03-31) — this row uses the airline's founding date, not the IPO date. Wikidata records multiple inception (P571) dates for this entity, likely reflecting predecessor/successor entities: 1926-04-15, 1936-06-25; earliest used here. hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (112 non-codeshare routes in snapshot). NOTE: after codeshare exclusion, Dallas Fort Worth (DFW) and Charlotte (CLT) are TIED at 112 non-codeshare routes each in this ~2014 OpenFlights snapshot; DFW was selected as American Airlines' real-world primary/largest hub (higher passenger volume), since route-count alone cannot break the tie. Reviewer should be aware this is a judgment call, not a clean data-driven pick. OpenFlights data is a dated ~2014 snapshot; current largest hub may differ."
DAL,Delta Air Lines,1925-03-02,,Hartsfield Jackson Atlanta International Airport,America/New_York,33.6367,-84.428101,wikidata+openflights,"Also charted as stock ticker DAL (IPO 1925-03-02) — this row uses the airline's founding date, not the IPO date. NB: the IPO date on file is identical to this founding date; that may indicate the stock dataset used the founding date as a placeholder rather than an actual IPO date — worth the reviewer double-checking. Wikidata records multiple inception (P571) dates for this entity, likely reflecting predecessor/successor entities: 1925-03-02, 1929-06-17; earliest used here. hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (168 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
UAL,United Airlines,1926-04-06,,Newark Liberty International Airport,America/New_York,40.692501068115234,-74.168701171875,wikidata+openflights,"Also charted as stock ticker UAL (IPO 1968-12-30) — this row uses the airline's founding date, not the IPO date. hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (93 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
SWA,Southwest Airlines,1967-03-15,,Chicago Midway International Airport,America/Chicago,41.785999,-87.752403,wikidata+openflights,"Also charted as stock ticker LUV (IPO 1967-03-15) — this row uses the airline's founding date, not the IPO date. NB: the IPO date on file is identical to this founding date (Wikidata records both a day-precision inception of 1967-03-15 and a separate year-only 1967 statement); that may indicate the stock dataset used the founding/incorporation date as a placeholder rather than an actual IPO date — worth the reviewer double-checking. Wikidata also has a lower-precision inception statement for the same year as the date used here; the higher-precision statement was preferred. hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (62 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
JBU,JetBlue Airways,1999-01-01,,John F Kennedy International Airport,America/New_York,40.63980103,-73.77890015,wikidata+openflights,"Also charted as stock ticker JBLU (IPO date unknown in our DB) — this row uses the airline's founding date, not the IPO date. founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (64 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
ASA,Alaska Airlines,1932-01-01,,Seattle Tacoma International Airport,America/Los_Angeles,47.449001,-122.308998,wikidata+openflights,"Also charted as stock ticker ALK (IPO 1985-01-01) — this row uses the airline's founding date, not the IPO date. founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (41 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
AAY,Allegiant Air,1997-01-01,,Orlando Sanford International Airport,America/New_York,28.777599334716797,-81.23750305175781,wikidata+openflights,"Also charted as stock ticker ALGT (IPO 2006-05-15) — this row uses the airline's founding date, not the IPO date. founding month known, day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (47 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
EIN,Aer Lingus,1936-05-28,,Dublin Airport,Europe/Dublin,53.421299,-6.27007,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (62 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
AFL,Aeroflot,1923-02-03,,Sheremetyevo International Airport,Europe/Moscow,55.972599,37.4146,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (126 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
AMX,Aeroméxico,1934-09-14,,Licenciado Benito Juarez International Airport,America/Mexico_City,19.4363,-99.072098,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (52 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
ACA,Air Canada,1937-01-01,,Lester B. Pearson International Airport,America/Toronto,43.6772003174,-79.63059997559999,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (76 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
CCA,Air China,1988-07-01,,Beijing Capital International Airport,Asia/Shanghai,40.080101013183594,116.58499908447266,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (130 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
AFR,Air France,1932-01-01,,Charles de Gaulle International Airport,Europe/Paris,49.012798,2.55,wikidata+openflights,"Wikidata records multiple inception (P571) dates for this entity, likely reflecting predecessor/successor entities: 1932, 1933-08-30; earliest used here. founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (144 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
AIC,Air India,1932-10-15,,Indira Gandhi International Airport,Asia/Calcutta,28.5665,77.103104,wikidata+openflights,"Wikidata records multiple inception (P571) dates for this entity, likely reflecting predecessor/successor entities: 1932-10-15, 1946-07-29; earliest used here. hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (59 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
ANZ,Air New Zealand,1940-04-26,,Auckland International Airport,Pacific/Auckland,-37.008098602299995,174.792007446,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (22 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
ASL,Air Serbia,2013-01-01,,Belgrade Nikola Tesla Airport,Europe/Belgrade,44.8184013367,20.3090991974,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (33 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
TSC,Air Transat,1986-12-01,,Montreal / Pierre Elliott Trudeau International Airport,America/Toronto,45.4706001282,-73.7407989502,wikidata+openflights,"founding month known, day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (21 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
AXM,AirAsia,1993-12-20,,Kuala Lumpur International Airport,Asia/Kuala_Lumpur,2.745579957962,101.70999908447,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (55 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
BTI,AirBaltic,1995-02-08,,Riga International Airport,Europe/Riga,56.92359924316406,23.971099853515625,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (49 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
ANA,All Nippon Airways,1952-12-27,,Tokyo Haneda International Airport,Asia/Tokyo,35.552299,139.779999,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (53 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
AUA,Austrian Airlines,1957-09-30,,Vienna International Airport,Europe/Vienna,48.110298156738,16.569700241089,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (3 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
AVA,Avianca,1919-12-05,,El Dorado International Airport,America/Bogota,4.70159,-74.1469,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (50 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
AZU,Azul,2008-01-04,,Viracopos International Airport,America/Sao_Paulo,-23.0074005127,-47.1344985962,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (50 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
BAW,British Airways,1919-01-01,,London Heathrow Airport,Europe/London,51.4706,-0.461941,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (129 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
DAT,Brussels Airlines,2006-11-07,,Brussels Airport,Europe/Brussels,50.901401519800004,4.48443984985,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (61 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
LZB,Bulgaria Air,2002-01-01,,Sofia Airport,Europe/Sofia,42.696693420410156,23.411436080932617,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (24 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
CPA,Cathay Pacific,1946-09-24,,Hong Kong International Airport,Asia/Hong_Kong,22.308901,113.915001,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (85 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
CEB,Cebu Pacific,1988-08-26,,Ninoy Aquino International Airport,Asia/Manila,14.5086,121.019997,wikidata+openflights,"hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (51 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
CES,China Eastern Airlines,1988-01-01,,Shanghai Pudong International Airport,Asia/Shanghai,31.143400192260742,121.80500030517578,wikidata+openflights,"founding year only, month/day unknown hub airport = busiest OpenFlights route origin for this carrier after excluding codeshare-marketed routes (97 non-codeshare routes in snapshot; OpenFlights data is a dated ~2014 snapshot, current largest hub may differ)"
