ticker,name,exchange,cik,conception_date,conception_prec,conception_src,birth_date,birth_prec,birth_src,note
A,"AGILENT TECHNOLOGIES, INC.",NYSE,1090872,1999,year,wikidata,1999-11-18,day,sec-424b,
AA,Alcoa Corp,NYSE,1675149,,,conflict,,,,registered but no 424B prospectus on file
AAAU,Goldman Sachs Physical Gold ETF,CBOE,1708646,,,,,,,registered but no 424B prospectus on file
AAC-UN,Ares Acquisition Corp III,NYSE,2128115,,,,2026-06-30,day,sec-424b,
AACB,Artius II Acquisition Inc.,NASDAQ,2034334,,,,2025-02-14,day,sec-424b,
AACBR,Artius II Acquisition Inc.,NASDAQ,2034334,,,,2025-02-14,day,sec-424b,
AACBU,Artius II Acquisition Inc.,NASDAQ,2034334,,,,2025-02-14,day,sec-424b,
AACG,ATA Creativity Global,NASDAQ,1420529,,,,2008-01-29,day,sec-424b,
AACI,Armada Acquisition Corp. III,NASDAQ,2092897,,,,2026-02-18,day,sec-424b,
AACIU,Armada Acquisition Corp. III,NASDAQ,2092897,,,,2026-02-18,day,sec-424b,
AACIW,Armada Acquisition Corp. III,NASDAQ,2092897,,,,2026-02-18,day,sec-424b,
AACO,Abony Acquisition Corp. I,NASDAQ,2099906,,,,2026-02-19,day,sec-424b,
AACOU,Abony Acquisition Corp. I,NASDAQ,2099906,,,,2026-02-19,day,sec-424b,
AACOW,Abony Acquisition Corp. I,NASDAQ,2099906,,,,2026-02-19,day,sec-424b,
AACP,Apogee Acquisition Corp,NASDAQ,2102123,,,,2026-04-08,day,sec-424b,
AACPR,Apogee Acquisition Corp,NASDAQ,2102123,,,,2026-04-08,day,sec-424b,
AACPU,Apogee Acquisition Corp,NASDAQ,2102123,,,,2026-04-08,day,sec-424b,
AACPW,Apogee Acquisition Corp,NASDAQ,2102123,,,,2026-04-08,day,sec-424b,
AADX,"Applied Aerospace & Defense, Inc.",NYSE,2118195,,,,2026-06-04,day,sec-424b,
AAL,American Airlines Group Inc.,NASDAQ,6201,,,conflict,,,,pre-EDGAR: not datable from SEC
AAME,ATLANTIC AMERICAN CORP,NASDAQ,8177,,,,,,,pre-EDGAR: not datable from SEC
AAMI,Acadian Asset Management Inc.,NYSE,1748824,,,,,,,pre-EDGAR: not datable from SEC
AAOI,"APPLIED OPTOELECTRONICS, INC.",NASDAQ,1158114,1997,year,wikidata,2013-09-26,day,sec-424b,
AAON,"AAON, INC.",NASDAQ,824142,1988,year,wikidata,,,,
AAP,ADVANCE AUTO PARTS INC,NYSE,1158449,1932,year,wikidata,2002-03-07,day,sec-424b,
AAPG,ASCENTAGE PHARMA GROUP INTERNATIONAL,NASDAQ,2023311,,,,2025-01-24,day,sec-424b,
AAPL,Apple Inc.,NASDAQ,320193,1976-04-01,day,wikidata,,,,
AARD,"Aardvark Therapeutics, Inc.",NASDAQ,1774857,,,,2025-02-13,day,sec-424b,
AAT,"American Assets Trust, Inc.",NYSE,1500217,,,,2011-01-14,day,sec-424b,
AAUC,Allied Gold Corp,NYSE,1993344,,,,,,,pre-EDGAR: not datable from SEC
AB,ALLIANCEBERNSTEIN HOLDING L.P.,NYSE,825313,1967,year,wikidata,,,,
ABAT,AMERICAN BATTERY TECHNOLOGY Co,NASDAQ,1576873,,,,2013-10-17,day,sec-424b,
ABBV,AbbVie Inc.,NYSE,1551152,2012-04-10,day,wikidata,,,,
ABCB,Ameris Bancorp,NYSE,351569,1971,year,wikidata,,,,
ABCL,AbCellera Biologics Inc.,NASDAQ,1703057,,,,2020-12-14,day,sec-424b,
ABEO,ABEONA THERAPEUTICS INC.,NASDAQ,318306,,,,,,,pre-EDGAR: not datable from SEC
ABEV,AMBEV S.A.,NYSE,1565025,1999,year,wikidata,,,,
ABG,ASBURY AUTOMOTIVE GROUP INC,NYSE,1144980,1995,year,wikidata,2002-07-22,day,sec-424b,
ABLV,Able View Global Inc.,NASDAQ,1957489,,,,,,,registered but no 424B prospectus on file
ABLVW,Able View Global Inc.,NASDAQ,1957489,,,,,,,registered but no 424B prospectus on file
ABM,ABM INDUSTRIES INC /DE/,NYSE,771497,1909,year,wikidata,,,,
ABNB,"Airbnb, Inc.",NASDAQ,1559720,2008,year,wikidata,2020-12-11,day,sec-424b,
ABOS,"Acumen Pharmaceuticals, Inc.",NASDAQ,1576885,,,,2021-07-02,day,sec-424b,
ABR,ARBOR REALTY TRUST INC,NYSE,1253986,,,,2004-04-08,day,sec-424b,
ABR-PD,ARBOR REALTY TRUST INC,NYSE,1253986,,,,2004-04-08,day,sec-424b,
ABR-PE,ARBOR REALTY TRUST INC,NYSE,1253986,,,,2004-04-08,day,sec-424b,
ABR-PF,ARBOR REALTY TRUST INC,NYSE,1253986,,,,2004-04-08,day,sec-424b,
ABSI,Absci Corp,NASDAQ,1672688,,,,2021-07-23,day,sec-424b,
ABT,ABBOTT LABORATORIES,NYSE,1800,1888,year,wikidata,,,,
ABTC,American Bitcoin Corp.,NASDAQ,1755953,,,,,,,pre-EDGAR: not datable from SEC
ABTS,Abits Group Inc,NASDAQ,1864055,,,,,,,pre-EDGAR: not datable from SEC
ABUS,Arbutus Biopharma Corp,NASDAQ,1447028,2007,year,wikidata,,,,
ABVC,"ABVC BIOPHARMA, INC.",NASDAQ,1173313,,,,2003-04-25,day,sec-424b,
ABVX,Abivax S.A.,NASDAQ,1956827,,,,2023-10-23,day,sec-424b,
ABX,"Abacus Global Management, Inc.",NYSE,1814287,,,,2024-06-21,day,sec-424b,
ABXL,"Abacus Global Management, Inc.",NYSE,1814287,,,,2024-06-21,day,sec-424b,
ACA,"Arcosa, Inc.",NYSE,1739445,,,,,,,registered but no 424B prospectus on file
ACAA,Averin Capital Acquisition Corp.,NASDAQ,2096900,,,,2026-02-18,day,sec-424b,
